"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,195,1,0,95,5,0,1
195,380,3,0,95,5,0,1
380,741,3,0,95,5,0,1
741,778,8,0,5,1,0,1
778,739,8,0,5,1,1,0
739,1441,7,1,95,5,1,1
1441,2810,4,0,95,5,0,1
2810,2950,5,1,5,1,1,1
2950,100,5,1,50,3,1,1
100,195,1,0,95,5,0,1
195,380,2,0,95,5,0,1
380,19,5,0,95,5,1,0
19,37,7,1,95,5,1,1
37,2,6,1,95,5,0,0
2,4,1,0,95,5,0,1
4,100,8,1,95,5,0,0
100,75,5,1,25,2,0,0
75,79,4,1,5,1,1,1
79,154,3,0,95,5,0,1
154,162,3,1,5,1,1,1
162,316,9,1,95,5,1,1
316,300,4,1,5,1,0,0
300,15,4,0,95,5,1,0
15,29,1,0,95,5,0,1
29,100,5,0,5,1,0,1
100,95,6,0,5,1,1,0
95,185,1,0,95,5,0,1
185,361,9,1,95,5,1,1
361,18,7,1,95,5,0,0
18,35,2,0,95,5,0,1
35,2,8,1,95,5,0,0
2,2,6,0,25,2,0,1
2,4,3,0,95,5,0,1
4,100,2,0,75,4,1,0
100,195,7,1,95,5,1,1
195,185,7,0,5,1,1,0
185,361,4,0,95,5,0,1
361,704,2,0,95,5,0,1
704,1373,7,1,95,5,1,1
1373,2677,1,0,95,5,0,1
2677,2543,2,1,5,1,0,0
2543,4959,1,0,95,5,0,1
4959,100,7,1,95,5,0,0
100,5,5,1,95,5,0,0
5,5,7,0,5,1,1,0
5,5,1,1,5,1,0,0
5,5,7,0,5,1,1,0
5,0,7,1,95,5,0,0
