"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,105,2,1,5,1,1,1
105,205,4,0,95,5,0,1
205,400,9,1,95,5,1,1
400,380,6,0,5,1,1,0
380,361,3,1,5,1,0,0
361,343,4,1,5,1,0,0
343,17,4,0,95,5,1,0
17,13,6,1,25,2,0,0
13,100,2,0,95,5,0,1
100,175,5,1,75,4,1,1
175,341,1,0,95,5,0,1
341,665,4,0,95,5,0,1
665,1297,3,0,95,5,0,1
1297,2529,3,0,95,5,0,1
2529,2403,2,1,5,1,0,0
2403,2523,3,1,5,1,1,1
2523,2397,3,1,5,1,0,0
2397,100,7,1,95,5,1,1
100,195,6,1,95,5,1,1
195,380,7,1,95,5,1,1
380,19,6,1,95,5,0,0
19,33,2,0,75,4,0,1
33,2,2,0,95,5,1,0
2,2,8,1,25,2,0,0
2,2,1,1,25,2,0,0
2,100,5,1,75,4,0,0
100,195,8,1,95,5,1,1
195,380,4,0,95,5,0,1
380,741,1,0,95,5,0,1
741,1445,3,0,95,5,0,1
1445,2818,1,0,95,5,0,1
2818,5495,1,0,95,5,0,1
5495,10715,2,0,95,5,0,1
10715,10179,2,1,5,1,0,0
10179,100,5,1,75,4,0,0
100,95,3,1,5,1,0,0
95,185,2,0,95,5,0,1
185,361,1,0,95,5,0,1
361,704,7,1,95,5,1,1
704,1373,2,0,95,5,0,1
1373,2677,2,0,95,5,0,1
2677,2811,8,0,5,1,0,1
2811,2670,1,1,5,1,0,0
2670,100,7,0,5,1,1,0
100,105,4,1,5,1,1,1
105,110,6,0,5,1,0,1
110,82,5,1,25,2,0,0
82,160,8,1,95,5,1,1
160,312,3,0,95,5,0,1
312,16,6,1,95,5,0,0
16,20,5,0,25,2,0,1
20,10,4,1,50,3,0,0
10,100,5,1,25,2,1,1
100,195,1,0,95,5,0,1
195,49,5,0,75,4,1,0
49,96,2,0,95,5,0,1
96,187,8,1,95,5,1,1
187,196,6,0,5,1,0,1
196,382,2,0,95,5,0,1
382,363,2,1,5,1,0,0
363,18,4,0,95,5,1,0
18,100,7,1,75,4,1,1
100,195,9,1,95,5,1,1
195,185,4,1,5,1,0,0
185,139,5,1,25,2,0,0
139,70,5,0,50,3,1,0
70,136,8,1,95,5,1,1
136,265,7,1,95,5,1,1
265,252,3,1,5,1,0,0
252,13,3,0,95,5,1,0
13,100,7,1,95,5,1,1
100,195,3,0,95,5,0,1
195,380,1,0,95,5,0,1
380,19,7,1,95,5,0,0
19,5,4,1,75,4,0,0
5,5,2,0,5,1,1,0
5,10,3,0,95,5,0,1
10,10,5,1,5,1,0,0
10,20,9,1,95,5,1,1
20,100,4,1,5,1,0,0
100,125,5,1,25,2,1,1
125,244,1,0,95,5,0,1
244,232,6,0,5,1,1,0
232,452,9,1,95,5,1,1
452,429,3,1,5,1,0,0
429,837,4,0,95,5,0,1
837,42,7,1,95,5,0,0
42,40,2,1,5,1,0,0
40,100,2,0,95,5,0,1
100,175,5,1,75,4,1,1
175,341,7,1,95,5,1,1
341,17,2,0,95,5,1,0
17,100,7,1,95,5,0,0
100,195,2,0,95,5,0,1
195,380,9,1,95,5,1,1
380,741,4,0,95,5,0,1
741,1445,6,1,95,5,1,1
1445,1373,8,0,5,1,1,0
1373,2677,2,0,95,5,0,1
2677,4685,5,1,75,4,1,1
4685,4451,3,1,5,1,0,0
4451,100,3,0,95,5,0,1
100,5,3,0,95,5,1,0
5,5,7,0,5,1,0,1
5,10,8,1,95,5,1,1
10,18,6,1,75,4,1,1
18,35,3,0,95,5,0,1
35,33,6,0,5,1,1,0
33,2,6,1,95,5,0,0
2,4,8,1,95,5,1,1
4,100,4,0,95,5,0,1
100,95,6,0,5,1,1,0
95,166,5,1,75,4,1,1
166,174,6,0,5,1,0,1
174,9,9,1,95,5,0,0
9,4,5,0,50,3,1,0
4,100,3,1,75,4,0,0
100,95,8,0,5,1,1,0
95,100,7,0,5,1,0,1
100,150,4,1,50,3,1,1
150,8,8,1,95,5,0,0
8,14,5,1,75,4,1,1
14,10,6,0,25,2,1,0
10,12,7,1,25,2,1,1
12,100,2,0,95,5,1,0
100,195,1,0,95,5,0,1
195,205,2,1,5,1,1,1
205,195,5,1,5,1,0,0
195,380,2,0,95,5,0,1
380,741,2,0,95,5,0,1
741,778,6,0,5,1,0,1
778,739,3,1,5,1,0,0
739,1108,5,0,50,3,0,1
1108,100,9,1,95,5,1,1
100,195,9,1,95,5,1,1
195,380,7,1,95,5,1,1
380,361,8,0,5,1,1,0
361,704,9,1,95,5,1,1
704,669,9,0,5,1,1,0
669,1305,8,1,95,5,1,1
1305,65,1,0,95,5,1,0
65,114,5,0,75,4,0,1
114,100,7,0,5,1,0,1
100,105,4,1,5,1,1,1
105,5,6,1,95,5,0,0
5,6,5,0,25,2,0,1
6,12,2,0,95,5,0,1
12,23,2,0,95,5,0,1
23,24,2,1,5,1,1,1
24,100,1,0,95,5,1,0
100,195,8,1,95,5,1,1
195,185,1,1,5,1,0,0
185,176,6,0,5,1,1,0
176,185,4,1,5,1,1,1
185,9,7,1,95,5,0,0
9,100,5,0,95,5,1,0
100,95,1,1,5,1,0,0
95,5,6,1,95,5,0,0
5,10,7,1,95,5,1,1
10,18,4,1,75,4,1,1
18,17,6,0,5,1,1,0
17,33,7,1,95,5,1,1
33,31,4,1,5,1,0,0
31,60,1,0,95,5,0,1
60,117,9,1,95,5,1,1
