"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,195,7,1,95,5,1,1
195,185,4,1,5,1,0,0
185,176,7,0,5,1,1,0
176,167,4,1,5,1,0,0
167,159,2,1,5,1,0,0
159,310,9,1,95,5,1,1
310,294,1,1,5,1,0,0
294,573,3,0,95,5,0,1
573,100,3,0,95,5,1,0
100,105,8,0,5,1,0,1
105,205,9,1,95,5,1,1
205,400,8,1,95,5,1,1
400,20,1,0,95,5,1,0
20,30,3,1,50,3,1,1
30,58,2,0,95,5,0,1
58,3,7,1,95,5,0,0
3,2,4,0,50,3,1,0
2,100,9,1,25,2,1,1
100,75,5,1,25,2,0,0
75,56,5,1,25,2,0,0
56,3,7,1,95,5,0,0
3,2,2,1,25,2,0,0
2,2,4,0,5,1,1,0
2,100,6,0,95,5,1,0
100,195,1,0,95,5,0,1
195,380,7,1,95,5,1,1
380,741,6,1,95,5,1,1
741,704,6,0,5,1,1,0
704,1373,9,1,95,5,1,1
1373,69,3,0,95,5,1,0
69,66,4,1,5,1,0,0
66,50,8,0,25,2,1,0
50,100,6,1,50,3,0,0
100,195,4,0,95,5,0,1
195,185,1,1,5,1,0,0
185,361,3,0,95,5,0,1
361,704,6,1,95,5,1,1
704,1056,5,0,50,3,0,1
1056,528,5,0,50,3,1,0
528,26,3,0,95,5,1,0
26,100,4,0,95,5,1,0
100,95,2,1,5,1,0,0
95,185,9,1,95,5,1,1
185,9,6,1,95,5,0,0
9,4,4,0,50,3,1,0
4,7,4,1,75,4,1,1
7,5,3,1,25,2,0,0
5,9,2,0,75,4,0,1
9,2,1,1,75,4,0,0
2,100,9,1,50,3,1,1
100,195,2,0,95,5,0,1
195,10,3,0,95,5,1,0
10,18,6,0,75,4,0,1
18,9,4,0,50,3,1,0
9,7,4,0,25,2,1,0
7,14,8,1,95,5,1,1
14,13,2,1,5,1,0,0
13,23,6,1,75,4,1,1
23,100,6,1,75,4,0,0
100,195,2,0,95,5,0,1
195,10,8,1,95,5,0,0
10,8,3,0,25,2,1,0
8,16,8,1,95,5,1,1
16,31,2,0,95,5,0,1
31,29,4,1,5,1,0,0
29,30,8,0,5,1,0,1
30,28,9,0,5,1,1,0
28,100,8,1,95,5,1,1
100,150,6,1,50,3,1,1
150,292,9,1,95,5,1,1
292,277,7,0,5,1,1,0
277,540,8,1,95,5,1,1
540,567,6,0,5,1,0,1
567,1106,3,0,95,5,0,1
1106,2157,1,0,95,5,0,1
2157,2049,6,0,5,1,1,0
2049,100,2,0,95,5,0,1
100,195,2,0,95,5,0,1
195,205,4,1,5,1,1,1
205,215,7,0,5,1,0,1
215,419,1,0,95,5,0,1
419,398,8,0,5,1,1,0
398,20,5,0,95,5,1,0
20,39,9,1,95,5,1,1
39,2,1,0,95,5,1,0
2,100,2,0,5,1,1,0
100,95,1,1,5,1,0,0
95,5,6,1,95,5,0,0
5,6,1,0,25,2,0,1
6,12,9,1,95,5,1,1
12,18,3,0,50,3,0,1
18,17,1,1,5,1,0,0
17,33,2,0,95,5,0,1
33,64,6,1,95,5,1,1
64,100,3,0,75,4,1,0
100,95,6,0,5,1,1,0
95,5,7,1,95,5,0,0
5,100,5,0,75,4,1,0
100,150,5,0,50,3,0,1
150,292,8,1,95,5,1,1
292,277,3,1,5,1,0,0
277,540,4,0,95,5,0,1
540,513,6,0,5,1,1,0
513,539,6,0,5,1,0,1
539,135,5,1,75,4,0,0
135,128,8,0,5,1,1,0
128,100,7,1,95,5,1,1
100,5,6,1,95,5,0,0
5,5,2,1,5,1,0,0
5,9,2,0,75,4,0,1
9,4,2,1,50,3,0,0
4,6,6,1,50,3,1,1
6,10,2,0,75,4,0,1
10,100,5,0,95,5,1,0
100,95,3,1,5,1,0,0
95,90,2,1,5,1,0,0
90,4,4,0,95,5,1,0
4,6,7,1,50,3,1,1
6,9,6,1,50,3,1,1
9,4,8,1,50,3,0,0
4,5,6,1,25,2,1,1
5,6,9,1,25,2,1,1
6,100,3,0,95,5,0,1
100,95,1,1,5,1,0,0
95,185,3,0,95,5,0,1
185,361,9,1,95,5,1,1
361,704,9,1,95,5,1,1
704,1373,1,0,95,5,0,1
1373,2677,1,0,95,5,0,1
2677,5220,9,1,95,5,1,1
5220,2610,5,1,50,3,0,0
2610,100,8,0,5,1,1,0
100,25,6,1,75,4,0,0
25,49,2,0,95,5,0,1
49,96,7,1,95,5,1,1
96,5,1,0,95,5,1,0
5,9,7,1,75,4,1,1
9,2,6,1,75,4,0,0
2,2,5,0,25,2,0,1
2,2,2,1,25,2,0,0
2,100,4,1,95,5,1,1
100,150,4,0,50,3,0,1
150,142,8,0,5,1,1,0
142,7,4,0,95,5,1,0
7,12,6,1,75,4,1,1
12,100,9,0,95,5,1,0
100,5,6,1,95,5,0,0
5,5,7,0,5,1,1,0
5,5,8,0,5,1,1,0
5,5,4,1,5,1,0,0
5,6,6,1,25,2,1,1
6,4,7,0,25,2,1,0
4,6,9,1,50,3,1,1
6,6,9,1,5,1,1,1
6,100,9,1,5,1,1,1
100,105,7,0,5,1,0,1
105,205,8,1,95,5,1,1
205,195,4,1,5,1,0,0
195,185,7,0,5,1,1,0
185,361,2,0,95,5,0,1
361,704,7,1,95,5,1,1
704,739,9,0,5,1,0,1
739,37,6,1,95,5,0,0
37,72,9,1,95,5,1,1
