"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,95,6,0,5,1,1,0
95,90,2,1,5,1,0,0
90,176,1,0,95,5,0,1
176,167,3,1,5,1,0,0
167,326,9,1,95,5,1,1
326,636,4,0,95,5,0,1
636,604,8,0,5,1,1,0
604,1178,1,0,95,5,0,1
1178,100,4,1,5,1,0,0
100,195,1,0,95,5,0,1
195,380,8,1,95,5,1,1
380,399,3,1,5,1,1,1
399,778,1,0,95,5,0,1
778,39,6,1,95,5,0,0
39,41,6,0,5,1,0,1
41,80,1,0,95,5,0,1
80,4,3,0,95,5,1,0
4,100,5,0,25,2,1,0
100,195,2,0,95,5,0,1
195,49,5,0,75,4,1,0
49,47,2,1,5,1,0,0
47,92,7,1,95,5,1,1
92,179,4,0,95,5,0,1
179,188,4,1,5,1,1,1
188,367,1,0,95,5,0,1
367,716,9,1,95,5,1,1
716,100,2,0,95,5,1,0
100,195,4,0,95,5,0,1
195,98,5,0,50,3,1,0
98,103,4,1,5,1,1,1
103,129,5,0,25,2,0,1
129,252,4,0,95,5,0,1
252,491,8,1,95,5,1,1
491,466,2,1,5,1,0,0
466,489,2,1,5,1,1,1
489,100,4,0,95,5,1,0
100,105,2,1,5,1,1,1
105,5,3,0,95,5,1,0
5,6,9,1,25,2,1,1
6,10,1,0,75,4,0,1
10,18,9,1,75,4,1,1
18,35,9,1,95,5,1,1
35,2,4,0,95,5,1,0
2,2,6,1,5,1,1,1
2,100,7,0,50,3,1,0
100,195,9,1,95,5,1,1
195,185,9,0,5,1,1,0
185,361,7,1,95,5,1,1
361,343,4,1,5,1,0,0
343,326,7,0,5,1,1,0
326,636,1,0,95,5,0,1
636,668,4,1,5,1,1,1
668,635,4,1,5,1,0,0
635,603,6,0,5,1,1,0
