"trial.initial.points","trial.final.points","n.left.colour.boxes","left.colour.chosen","percentage.staked","stake.index","left.won","subject.won"
100,105,3,1,5,1,1,1
105,79,5,0,25,2,1,0
79,4,5,1,95,5,0,0
4,4,2,1,5,1,0,0
4,5,8,1,25,2,1,1
5,4,5,1,25,2,0,0
4,7,2,1,75,4,1,1
7,100,7,0,95,5,1,0
100,195,1,0,95,5,0,1
195,10,4,0,95,5,1,0
10,100,5,0,95,5,1,0
100,5,1,0,95,5,1,0
5,6,9,1,25,2,1,1
6,9,2,0,50,3,0,1
9,16,7,1,75,4,1,1
16,28,2,0,75,4,0,1
28,42,9,1,50,3,1,1
42,82,3,0,95,5,0,1
82,20,5,0,75,4,1,0
20,100,2,0,95,5,0,1
100,95,1,1,5,1,0,0
95,185,2,0,95,5,0,1
185,361,9,1,95,5,1,1
361,18,4,0,95,5,1,0
18,22,4,1,25,2,1,1
22,43,2,0,95,5,0,1
43,45,6,0,5,1,0,1
45,79,6,1,75,4,1,1
79,100,9,1,95,5,0,0
100,195,3,0,95,5,0,1
195,380,9,1,95,5,1,1
380,361,9,0,5,1,1,0
361,704,7,1,95,5,1,1
704,880,5,1,25,2,1,1
880,44,4,0,95,5,1,0
44,46,2,1,5,1,1,1
46,90,4,0,95,5,0,1
90,100,5,0,5,1,0,1
100,95,3,1,5,1,0,0
95,90,7,0,5,1,1,0
90,176,1,0,95,5,0,1
176,9,8,1,95,5,0,0
9,7,3,1,25,2,0,0
7,12,1,0,75,4,0,1
12,100,7,0,95,5,1,0
100,195,8,1,95,5,1,1
195,185,7,0,5,1,1,0
185,9,9,1,95,5,0,0
9,16,9,1,75,4,1,1
16,31,5,0,95,5,0,1
31,46,7,0,50,3,0,1
46,80,5,1,75,4,1,1
80,4,3,0,95,5,1,0
4,100,5,1,50,3,1,1
100,195,2,0,95,5,0,1
195,380,9,1,95,5,1,1
380,19,3,0,95,5,1,0
19,33,4,1,75,4,1,1
33,31,6,0,5,1,1,0
31,29,3,1,5,1,0,0
29,28,6,0,5,1,1,0
28,27,4,1,5,1,0,0
27,100,6,1,95,5,0,0
100,195,7,1,95,5,1,1
195,380,1,0,95,5,0,1
380,399,4,1,5,1,1,1
399,778,7,1,95,5,1,1
778,817,6,0,5,1,0,1
817,776,8,0,5,1,1,0
776,737,8,0,5,1,1,0
737,774,4,1,5,1,1,1
774,100,2,1,5,1,0,0
100,195,7,1,95,5,1,1
195,380,3,0,95,5,0,1
380,361,8,0,5,1,1,0
361,343,7,0,5,1,1,0
343,669,6,1,95,5,1,1
669,33,2,0,95,5,1,0
33,16,5,0,50,3,1,0
16,20,5,0,25,2,0,1
20,100,6,0,75,4,1,0
100,195,9,1,95,5,1,1
195,185,6,0,5,1,1,0
185,278,5,1,50,3,1,1
278,542,1,0,95,5,0,1
542,1057,8,1,95,5,1,1
1057,2061,3,0,95,5,0,1
2061,1958,2,1,5,1,0,0
1958,2056,6,0,5,1,0,1
2056,100,8,0,5,1,1,0
100,5,2,0,95,5,1,0
5,10,2,0,95,5,0,1
10,20,1,0,95,5,0,1
20,100,2,0,95,5,1,0
100,95,9,0,5,1,1,0
95,119,6,0,25,2,0,1
119,125,6,0,5,1,0,1
125,6,2,0,95,5,1,0
6,100,2,0,95,5,1,0
100,95,9,0,5,1,1,0
95,185,2,0,95,5,0,1
185,361,8,1,95,5,1,1
361,704,2,0,95,5,0,1
704,35,2,0,95,5,1,0
35,68,8,1,95,5,1,1
68,51,4,1,25,2,0,0
51,89,5,0,75,4,0,1
89,100,7,0,5,1,1,0
100,195,6,1,95,5,1,1
195,380,1,0,95,5,0,1
380,361,6,0,5,1,1,0
361,343,8,0,5,1,1,0
343,326,3,1,5,1,0,0
326,16,4,0,95,5,1,0
16,20,4,1,25,2,1,1
20,35,2,0,75,4,0,1
35,100,3,1,5,1,0,0
100,5,4,0,95,5,1,0
5,9,9,1,75,4,1,1
9,2,6,1,75,4,0,0
2,3,8,0,50,3,0,1
3,3,1,0,5,1,0,1
3,3,5,1,5,1,1,1
3,6,6,0,95,5,0,1
6,6,2,1,5,1,0,0
6,100,3,0,95,5,0,1
100,95,6,0,5,1,1,0
95,185,8,1,95,5,1,1
185,9,8,1,95,5,0,0
9,9,9,1,5,1,1,1
9,2,5,0,75,4,1,0
2,2,9,1,5,1,1,1
2,100,4,0,95,5,1,0
100,105,7,0,5,1,0,1
105,26,5,0,75,4,1,0
26,46,9,1,75,4,1,1
46,90,5,0,95,5,0,1
90,176,9,1,95,5,1,1
176,9,3,0,95,5,1,0
9,7,9,0,25,2,1,0
7,100,8,1,95,5,0,0
100,5,1,0,95,5,1,0
5,100,5,1,95,5,0,0
100,105,4,1,5,1,1,1
105,100,3,1,5,1,0,0
100,105,2,1,5,1,1,1
105,205,2,0,95,5,0,1
205,195,3,1,5,1,0,0
195,380,2,0,95,5,0,1
380,19,4,0,95,5,1,0
19,33,7,1,75,4,1,1
33,2,1,0,95,5,1,0
